Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2015;3;620502001;MOTORES 2 TEMPOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;967
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;CENTRO OESTE;GO;1021004;PRODUÇÃO POR MISTURA;48
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;50000
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;5802900
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;14319052
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;5470549
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;384460
2015;3;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;83146
2015;3;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;3547979
2015;3;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;4866682
2015;3;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;6386005
2015;3;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;307249
2015;3;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;8846
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;5000
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;NORTE;PA;1021004;PRODUÇÃO POR MISTURA;200
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;171980
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;2523203
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;4304721
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;392
2015;4;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;436813
2015;4;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;26000
2015;4;620201001;ÓLEOS LUBRIFICANTES PARA AVIAÇÃO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;350252
2015;4;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;2761872
2015;4;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;66000
2015;4;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1034522
2015;4;620501001;CICLO OTTO;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;84141
2015;4;620501001;CICLO OTTO;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;8136
2015;4;620501001;CICLO OTTO;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;15360
2015;4;620501001;CICLO OTTO;NORTE;PA;1021004;PRODUÇÃO POR MISTURA;18
2015;4;620501001;CICLO OTTO;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;7983843
2015;4;620501001;CICLO OTTO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;24780569
2015;4;620501001;CICLO OTTO;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;31075916
2015;4;620501001;CICLO OTTO;SUL;PR;1021004;PRODUÇÃO POR MISTURA;374928
2015;4;620501001;CICLO OTTO;SUL;RS;1021004;PRODUÇÃO POR MISTURA;13920
2015;4;620501002;CICLO DIESEL;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;21744
2015;4;620501002;CICLO DIESEL;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;8908
2015;4;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;14000
2015;4;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4090427
2015;4;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;18019869
2015;4;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;2068560
2015;4;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;41214
2015;4;620501002;CICLO DIESEL;SUL;RS;1021004;PRODUÇÃO POR MISTURA;10116
2015;4;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1100349
2015;4;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;95826
2015;4;620502001;MOTORES 2 TEMPOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;45964
2015;4;620502001;MOTORES 2 TEMPOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;3776
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;30000
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;5096755
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;14043299
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;12830765
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;308505
2015;4;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;69580
2015;4;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;2796072
2015;4;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1980235
2015;4;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;9510921
2015;4;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;30795
2015;4;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;12973
